"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP"
"20","Audi","100",1992,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",20,16,3105,2000
"21","Audi","100",1992,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000
"22","Audi","100",1992,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",21,16,3105,2000
"23","Audi","100",1993,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000
"24","Audi","100",1993,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",20,16,3105,2000
"25","Audi","100",1993,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000
"26","Audi","100",1993,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000
"27","Audi","100",1993,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",21,16,3105,2000
"28","Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Wagon",21,16,3105,2000
"29","Audi","100",1994,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",22,16,3105,2000
"30","Audi","100",1994,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",22,17,3105,2000
"31","Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",22,16,3105,2000
"32","Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",21,16,3105,2000
"33","FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,27495
"34","FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,24995
"35","FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,28195
"36","Mercedes-Benz","190-Class",1991,"regular unleaded",130,4,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",26,18,617,2000
"37","Mercedes-Benz","190-Class",1991,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,617,2000
"38","Mercedes-Benz","190-Class",1992,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,617,2000
"39","Mercedes-Benz","190-Class",1992,"regular unleaded",130,4,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",26,18,617,2000
"40","Mercedes-Benz","190-Class",1993,"regular unleaded",130,4,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",26,18,617,2000
"41","Mercedes-Benz","190-Class",1993,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,617,2000
"42","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",35,23,3916,32850
"43","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",2,"Luxury","Compact","Convertible",34,23,3916,38650
"44","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",31,20,3916,48750
"45","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",35,23,3916,34850
"46","BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury","Compact","Convertible",34,22,3916,40650
"47","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,20,3916,44150
"48","BMW","2 Series",2016,"premium unleaded (required)",240,4,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",34,22,3916,32850
"49","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",30,20,3916,46150
"50","BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",30,20,3916,50750
"51","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,21,3916,46450
"52","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",32,21,3916,49050
"53","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",32,21,3916,51050
"54","BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",32,21,3916,44450
"55","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",34,23,3916,38950
"56","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",35,24,3916,33150
"57","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",33,24,3916,35150
"58","BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",2,"Luxury","Compact","Convertible",33,23,3916,40950
"59","Audi","200",1990,"regular unleaded",162,5,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",20,16,3105,2000
"60","Audi","200",1990,"regular unleaded",162,5,"MANUAL","all wheel drive",4,"Luxury","Midsize","Wagon",22,15,3105,2000
"61","Audi","200",1990,"regular unleaded",162,5,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",23,15,3105,2000
"62","Audi","200",1991,"regular unleaded",217,5,"MANUAL","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",22,16,3105,2000
"63","Audi","200",1991,"regular unleaded",217,5,"MANUAL","all wheel drive",4,"Luxury,Performance","Midsize","Wagon",22,16,3105,2000
"64","Audi","200",1991,"regular unleaded",162,5,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",20,16,3105,2000
"65","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25170
"66","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,23950
"67","Chrysler","200",2015,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,29370
"68","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,21995
"69","Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",36,23,1013,26625
"70","Chrysler","200",2015,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,30825
"71","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,21995
"72","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,27795
"73","Chrysler","200",2016,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,31785
"74","Chrysler","200",2016,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,29905
"75","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,22490
"76","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,27570
"77","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25690
"78","Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,24490
"79","Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,29905
"80","Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,31785
"81","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,26685
"82","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,22490
"83","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25690
"84","Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,30900
"85","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,27795
"86","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,21995
"87","Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,24490
"88","Nissan","200SX",1996,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",36,26,2009,2000
"89","Nissan","200SX",1996,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",36,26,2009,2000
"90","Nissan","200SX",1996,"regular unleaded",140,4,"MANUAL","front wheel drive",2,"Performance","Compact","Coupe",29,21,2009,2000
"91","Nissan","200SX",1997,"regular unleaded",140,4,"MANUAL","front wheel drive",2,"Performance","Compact","Coupe",29,21,2009,2000
"92","Nissan","200SX",1997,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,2009,2000
"93","Nissan","200SX",1997,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,2009,2000
"94","Nissan","200SX",1998,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,2009,2000
"95","Nissan","200SX",1998,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,2009,2000
"96","Nissan","200SX",1998,"regular unleaded",140,4,"MANUAL","front wheel drive",2,"Performance","Compact","Coupe",28,20,2009,2073
"97","Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3713
"98","Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3520
"99","Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3910
"100","Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,4182
"101","Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,4107
"102","Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4299
"103","Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4693
"104","Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4107
"105","Volvo","240",1991,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",26,19,870,2000
"106","Volvo","240",1991,"regular unleaded",114,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Wagon",23,18,870,2000
"107","Volvo","240",1991,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000
"108","Volvo","240",1992,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000
"109","Volvo","240",1992,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",26,19,870,2000
"110","Volvo","240",1992,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000
"111","Volvo","240",1993,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000
"112","Volvo","240",1993,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",25,18,870,2000
"113","Mazda","2",2012,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,16020
"114","Mazda","2",2012,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,14530
"115","Mazda","2",2012,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,16860
"116","Mazda","2",2012,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,15370
"117","Mazda","2",2013,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,17050
"118","Mazda","2",2013,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,15560
"119","Mazda","2",2013,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,16210
"120","Mazda","2",2013,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,14720
"121","Mazda","2",2014,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,17050
"122","Mazda","2",2014,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,15560
"123","Mazda","2",2014,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,16210
"124","Mazda","2",2014,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,14720
"125","BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,47250
"126","BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,22,3916,41850
"127","BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,22,3916,41850
"128","BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",34,22,3916,43000
"129","BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,49200
"130","BMW","3 Series Gran Turismo",2017,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,49650
"131","BMW","3 Series Gran Turismo",2017,"premium unleaded (required)",248,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,23,3916,43950
"132","BMW","3 Series",2015,"premium unleaded (required)",241,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",33,22,3916,41950
"133","BMW","3 Series",2015,"premium unleaded (required)",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance,Hybrid","Midsize","Sedan",33,25,3916,50150
"134","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",35,23,3916,37500
"135","BMW","3 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,3916,43750
"136","BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",45,32,3916,39000
"137","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,22,3916,39500
"138","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,22,3916,39500
"139","BMW","3 Series",2015,"premium unleaded (required)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,34950
"140","BMW","3 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,20,3916,45750
"141","BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",43,31,3916,43450
"142","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",35,23,3916,37500
"143","BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",43,31,3916,41000
"144","BMW","3 Series",2015,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,3916,32950
"145","BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,3916,41850
"146","BMW","3 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",33,22,3916,47800
"147","BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",42,32,3916,39850
"148","BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,22,3916,38350
"149","BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,22,3916,40350
"150","BMW","3 Series",2016,"premium unleaded (required)",240,4,"MANUAL","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,22,3916,38350
"151","BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",34,22,3916,42650
"152","BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,3916,33150
"153","BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,35150
"154","BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",40,30,3916,44150
"155","BMW","3 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",33,22,3916,45800
"156","BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,23,3916,38750
"157","BMW","3 Series",2017,"premium unleaded (recommended)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,23,3916,35450
"158","BMW","3 Series",2017,"premium unleaded (recommended)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,33450
"159","BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,23,3916,40750
"160","BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,3916,42250
"161","BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",33,23,3916,42950
"162","BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",42,32,3916,40250
"163","BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,21,3916,49900
"164","BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,3916,47900
"165","BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",40,30,3916,44450
"166","Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",19,15,617,2232
"167","Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Wagon",20,15,617,2000
"168","Mercedes-Benz","300-Class",1991,"regular unleaded",158,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,17,617,2000
"169","Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",20,15,617,2105
"170","Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",18,15,617,2199
"171","Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,16,617,2000
"172","Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",19,15,617,2124
"173","Mercedes-Benz","300-Class",1991,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,14,617,3552
"174","Mercedes-Benz","300-Class",1991,"regular unleaded",217,6,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",22,15,617,2179
"175","Mercedes-Benz","300-Class",1991,"diesel",121,5,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",30,23,617,2000
"176","Mercedes-Benz","300-Class",1992,"diesel",121,5,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",29,23,617,2000
"177","Mercedes-Benz","300-Class",1992,"regular unleaded",228,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",17,14,617,2377
"178","Mercedes-Benz","300-Class",1992,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,15,617,3814
"179","Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",19,15,617,2207
"180","Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Wagon",20,15,617,2000
